// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。
<0000> The members of GalDeMo and I were being lectured in the office.

//<0001> 楽器の没収は免れた。
<0001> Thankfully, the school won't confiscate the instruments.

//<0002> 二度と許可のないライブはしない約束と交換条件に。
<0002> But they told us to never start a concert again without permission.

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> Sekine
<0008> Sekine
{075f} 33 // 0008

//<0009> 「まー、あたしらにとっては約束なんてあってないようなもんですよっ、げっへっへ」
<0009> 「Well, to us, promises are meant to be broken. Gehehe」

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> Hisako
<0019> Hisako

//<0020> 「いや、今回ばかりはちっとは自重したほうがいいと思うぜ。な、Iwasawa」
<0020> 「No, I think it's better to restrain ourselves this time. Right, Iwasawa?」

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> Iwasawa
<0026> Iwasawa

//<0027> 「………」
<0027> 「………」

//<0028> 返事がない。別のことを考えてるようだ。
<0028> She's not responding. Something must be on her mind.

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> Hisako
<0033> Hisako

//<0034> 「Iwasawa?」
<0034> 「Iwasawa?」

//<0035> Hisakoがもう一度呼ぶ。視界にHisakoが入ったところで、我に返る。
<0035> Hisako called her again. As Hisako entered her sight, she came to her senses.

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> Iwasawa
<0039> Iwasawa

//<0040> 「え?　なに?」
<0040> 「Huh? What?」

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> Hisako
<0046> Hisako

//<0047> 「出来るだけ、陽動は先送りにしてもらおう。楽器没収されたらさすがにマズいだろ」
<0047> 「Let's ask the battlefront to refrain from using distractions. Getting our instruments confiscated isn't good.」

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> Sekine
<0053> Sekine
{27f9} 33 // 0053

//<0054> 「だからこそ実行部隊が居るんでしょー。なっ、お前!」
<0054> 「That's why we have the execution squad. Right? You right there!」

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> se_kick
<0066> se_kick

//<0067> 後ろから尻を蹴られ、よろめく。
<0067> She kicked me from the back, and I wobbled a bit.

//<0068> Otonashi
<0068> Otonashi

//<0069> クソ坊主
<0069> クソ坊主

//<0070> 代理人
<0070> 代理人

//<0071> 微妙すぎるイケメン
<0071> 微妙すぎるイケメン

//<0072> ロリコン
<0072> ロリコン

//<0073> メガネ仲間
<0073> メガネ仲間

//<0074> 暗算日本記録保持者
<0074> 暗算日本記録保持者

//<0075> 通り魔
<0075> 通り魔

//<0076> 記憶ナシ男
<0076> 記憶ナシ男

//<0077> 音速
<0077> 音速

//<0078> 無限
<0078> 無限

//<0079> Horny Samurai
<0079> Horny Samurai

//<0080> Super Horny Squad Member 1
<0080> Super Horny Squad Member 1

//<0081> Horny Boy
<0081> Horny Boy

//<0082> Ugri Yuri
<0082> Ugri Yuri

//<0083> Depussy
<0083> Depussy

//<0084> Perverted American Dog
<0084> Perverted American Dog

//<0085> Zeus
<0085> Zeus

//<0086> Hinata mark Ⅱ
<0086> Hinata mark Ⅱ

//<0087> Dung Beetle
<0087> Dung Beetle

//<0088> Mass Produced Hinata
<0088> Mass Produced Hinata

//<0089> ？？
<0089> ？？

//<0090> 「えっ?　楽器を取り戻すオペレーションか?　陽動部隊なくしてその陽動を誰がするんだ?」
<0090> 「Huh? Are you telling us to get the instruments back? Who'll do the distracting if there is no distraction squad?」

//<0091> nothing
<0091> nothing

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> Sekine
<0096> Sekine
{3da7} 33 // 0096

//<0097> 「お前ら幹部の男が居るだろーー!!　素っ裸になって、グラウンドで走り回ってたら、それだけで十分陽動になるだろー!!」
<0097> 「The officers are mostly boys, no!? If you run around naked, that'll be plenty of distraction, won't it!?」

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> そんなことあいつらがするわけがない
<0103> There's no way they'll do something like that

//<0104> 俺だけなら出来るが…
<0104> I can do it alone, but…

//<0105> selbtn : 
<0105> selbtn : 

//<0106> Otonashi
<0106> Otonashi

//<0107> クソ坊主
<0107> クソ坊主

//<0108> 代理人
<0108> 代理人

//<0109> 微妙すぎるイケメン
<0109> 微妙すぎるイケメン

//<0110> ロリコン
<0110> ロリコン

//<0111> メガネ仲間
<0111> メガネ仲間

//<0112> 暗算日本記録保持者
<0112> 暗算日本記録保持者

//<0113> 通り魔
<0113> 通り魔

//<0114> 記憶ナシ男
<0114> 記憶ナシ男

//<0115> 音速
<0115> 音速

//<0116> 無限
<0116> 無限

//<0117> Horny Samurai
<0117> Horny Samurai

//<0118> Super Horny Squad Member 1
<0118> Super Horny Squad Member 1

//<0119> Horny Boy
<0119> Horny Boy

//<0120> Ugri Yuri
<0120> Ugri Yuri

//<0121> Depussy
<0121> Depussy

//<0122> Perverted American Dog
<0122> Perverted American Dog

//<0123> Zeus
<0123> Zeus

//<0124> Hinata mark Ⅱ
<0124> Hinata mark Ⅱ

//<0125> Dung Beetle
<0125> Dung Beetle

//<0126> Mass Produced Hinata
<0126> Mass Produced Hinata

//<0127> ？？
<0127> ？？

//<0128> 「そんなプライド捨てたこと連中がするわけないだろ…」
<0128> 「There's no way those guys will do something that hurts their pride…」

//<0129> nothing
<0129> nothing

//<0130> nothing
<0130> nothing

//<0131> nothing
<0131> nothing

//<0132> nothing
<0132> nothing

//<0133> Hisako
<0133> Hisako

//<0134> 「だな…。Yuriに命令された野田ならやりかねないが、それ以外からはブーイングの嵐だろうな」
<0134> 「I guessed as much… Noda will do it if Yuri tells him to, but everybody else would complain about it.」

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> Sekine
<0140> Sekine

//<0141> 「何年こっちは陽動部隊させられてるんだよ!って話ですよ!!」
<0141> 「It's just that we've been treated as mere tools for distractions for years!!」

//<0142> nothing
<0142> nothing

//<0143> nothing
<0143> nothing

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> Hisako
<0147> Hisako

//<0148> 「だからと言って仲間に変態行為を強いるな。いつもサポートしてくれてんだから」
<0148> 「Don't force your ally to do something a pervert would do for a reason like that. They're always supporting us from the shadows.」

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> Sekine
<0154> Sekine

//<0155> 「じゃあ、みゆきちがOtonashiさんにグラウンドで襲われているという体で…」
<0155> 「Then, let's create a skit where Otonashi-san attack Miyukichi on the fields…」

//<0156> nothing
<0156> nothing

//<0157> nothing
<0157> nothing

//<0158> nothing
<0158> nothing

//<0159> Irie
<0159> Irie

//<0160> 「ええぇぇぇぇーー!?」
<0160> 「Eeeeeghhhhh!?」

//<0161> Otonashi
<0161> Otonashi

//<0162> クソ坊主
<0162> クソ坊主

//<0163> 代理人
<0163> 代理人

//<0164> 微妙すぎるイケメン
<0164> 微妙すぎるイケメン

//<0165> ロリコン
<0165> ロリコン

//<0166> メガネ仲間
<0166> メガネ仲間

//<0167> 暗算日本記録保持者
<0167> 暗算日本記録保持者

//<0168> 通り魔
<0168> 通り魔

//<0169> 記憶ナシ男
<0169> 記憶ナシ男

//<0170> 音速
<0170> 音速

//<0171> 無限
<0171> 無限

//<0172> Horny Samurai
<0172> Horny Samurai

//<0173> Super Horny Squad Member 1
<0173> Super Horny Squad Member 1

//<0174> Horny Boy
<0174> Horny Boy

//<0175> Ugri Yuri
<0175> Ugri Yuri

//<0176> Depussy
<0176> Depussy

//<0177> Perverted American Dog
<0177> Perverted American Dog

//<0178> Zeus
<0178> Zeus

//<0179> Hinata mark Ⅱ
<0179> Hinata mark Ⅱ

