// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> Returning to the dorm, we changed to our jerseys.

//<0001> ジャージに着替えて、トレーニングの準備をする。
<0001> Having changed into our jerseys, we started the preparation for the training.

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> Hinata
<0007> Hinata

//<0008> 男Ｂ
<0008> 男Ｂ

//<0009> Super Horny Squad Leader
<0009> Super Horny Squad Leader

//<0010> Handsome-chin
<0010> Handsome-chin

//<0011> Homota
<0011> Homota

//<0012> Hina-chin
<0012> Hina-chin

//<0013> Hideki
<0013> Hideki

//<0014> 男子生徒
<0014> 男子生徒

//<0015> ？？
<0015> ？？

//<0016> 「とりあえず、Horny Boy、ストレッチだ」
<0016> 「We'll start with a stretch, Horny Boy.」

//<0017> Hinata
<0017> Hinata

//<0018> 男Ｂ
<0018> 男Ｂ

//<0019> Super Horny Squad Leader
<0019> Super Horny Squad Leader

//<0020> Handsome-chin
<0020> Handsome-chin

//<0021> Homota
<0021> Homota

//<0022> Hina-chin
<0022> Hina-chin

//<0023> Hideki
<0023> Hideki

//<0024> 男子生徒
<0024> 男子生徒

//<0025> ？？
<0025> ？？

//<0026> 「とりあえず、Otonashi、ストレッチだ」
<0026> 「We'll start with a stretch, Otonashi.」

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> Hinataに倣い、ストレッチをする。
<0033> I imitated Hinata's stretching.

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> Hinata
<0039> Hinata

//<0040> 男Ｂ
<0040> 男Ｂ

//<0041> Super Horny Squad Leader
<0041> Super Horny Squad Leader

//<0042> Handsome-chin
<0042> Handsome-chin

//<0043> Homota
<0043> Homota

//<0044> Hina-chin
<0044> Hina-chin

//<0045> Hideki
<0045> Hideki

//<0046> 男子生徒
<0046> 男子生徒

//<0047> ？？
<0047> ？？

//<0048> 「次はペアストレッチって奴だ。ふたりだとこれが出来るから便利でいいぜ」
<0048> 「Next up is called the pair stretch. It's handy because we can both do it together.」

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> Hinata
<0054> Hinata

//<0055> 男Ｂ
<0055> 男Ｂ

//<0056> Super Horny Squad Leader
<0056> Super Horny Squad Leader

//<0057> Handsome-chin
<0057> Handsome-chin

//<0058> Homota
<0058> Homota

//<0059> Hina-chin
<0059> Hina-chin

//<0060> Hideki
<0060> Hideki

//<0061> 男子生徒
<0061> 男子生徒

//<0062> ？？
<0062> ？？

//<0063> 「ほら、こいよ」
<0063> 「Ok, come to me.」

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> Hinataが背中を見せて構える。
<0070> Hinata faced his back towards me.

//<0071> Otonashi
<0071> Otonashi

//<0072> クソ坊主
<0072> クソ坊主

//<0073> 代理人
<0073> 代理人

//<0074> 微妙すぎるイケメン
<0074> 微妙すぎるイケメン

//<0075> ロリコン
<0075> ロリコン

//<0076> メガネ仲間
<0076> メガネ仲間

//<0077> 暗算日本記録保持者
<0077> 暗算日本記録保持者

//<0078> 通り魔
<0078> 通り魔

//<0079> 記憶ナシ男
<0079> 記憶ナシ男

//<0080> 音速
<0080> 音速

//<0081> 無限
<0081> 無限

//<0082> Horny Samurai
<0082> Horny Samurai

//<0083> Super Horny Squad Member 1
<0083> Super Horny Squad Member 1

//<0084> Horny Boy
<0084> Horny Boy

//<0085> Ugly Yuri
<0085> Ugly Yuri

//<0086> Depussy
<0086> Depussy

//<0087> Perverted American Dog
<0087> Perverted American Dog

//<0088> Zeus
<0088> Zeus

//<0089> Hinata mark II
<0089> Hinata mark II

//<0090> Dung Beetle
<0090> Dung Beetle

//<0091> Mass Produced Hinata
<0091> Mass Produced Hinata

//<0092> ？？
<0092> ？？

//<0093> 「………」
<0093> 「………」

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> nothing
<0096> nothing

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> Hinata
<0099> Hinata

//<0100> 男Ｂ
<0100> 男Ｂ

//<0101> Super Horny Squad Leader
<0101> Super Horny Squad Leader

//<0102> Handsome-chin
<0102> Handsome-chin

//<0103> Homota
<0103> Homota

//<0104> Hina-chin
<0104> Hina-chin

//<0105> Hideki
<0105> Hideki

//<0106> 男子生徒
<0106> 男子生徒

//<0107> ？？
<0107> ？？

//<0108> 「何小難しい顔で考えてんだよ、背中合わせになるんだよ」
<0108> 「What are you daydreaming about? C'mon, let's join backs.」

//<0109> Otonashi
<0109> Otonashi

//<0110> クソ坊主
<0110> クソ坊主

//<0111> 代理人
<0111> 代理人

//<0112> 微妙すぎるイケメン
<0112> 微妙すぎるイケメン

//<0113> ロリコン
<0113> ロリコン

//<0114> メガネ仲間
<0114> メガネ仲間

//<0115> 暗算日本記録保持者
<0115> 暗算日本記録保持者

//<0116> 通り魔
<0116> 通り魔

//<0117> 記憶ナシ男
<0117> 記憶ナシ男

//<0118> 音速
<0118> 音速

//<0119> 無限
<0119> 無限

//<0120> Horny Samurai
<0120> Horny Samurai

//<0121> Super Horny Squad Member 1
<0121> Super Horny Squad Member 1

//<0122> Horny Boy
<0122> Horny Boy

//<0123> Ugly Yuri
<0123> Ugly Yuri

//<0124> Depussy
<0124> Depussy

//<0125> Perverted American Dog
<0125> Perverted American Dog

//<0126> Zeus
<0126> Zeus

//<0127> Hinata mark II
<0127> Hinata mark II

//<0128> Dung Beetle
<0128> Dung Beetle

//<0129> Mass Produced Hinata
<0129> Mass Produced Hinata

//<0130> ？？
<0130> ？？

//<0131> 「………」
<0131> 「………」

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> Hinata
<0137> Hinata

//<0138> 男Ｂ
<0138> 男Ｂ

//<0139> Super Horny Squad Leader
<0139> Super Horny Squad Leader

//<0140> Handsome-chin
<0140> Handsome-chin

//<0141> Homota
<0141> Homota

//<0142> Hina-chin
<0142> Hina-chin

//<0143> Hideki
<0143> Hideki

//<0144> 男子生徒
<0144> 男子生徒

//<0145> ？？
<0145> ？？

//<0146> 「早く来いよ!」
<0146> 「We don't have all day you know!?」

//<0147> Otonashi
<0147> Otonashi

//<0148> クソ坊主
<0148> クソ坊主

//<0149> 代理人
<0149> 代理人

//<0150> 微妙すぎるイケメン
<0150> 微妙すぎるイケメン

//<0151> ロリコン
<0151> ロリコン

//<0152> メガネ仲間
<0152> メガネ仲間

//<0153> 暗算日本記録保持者
<0153> 暗算日本記録保持者

//<0154> 通り魔
<0154> 通り魔

//<0155> 記憶ナシ男
<0155> 記憶ナシ男

//<0156> 音速
<0156> 音速

//<0157> 無限
<0157> 無限

//<0158> Horny Samurai
<0158> Horny Samurai

//<0159> Super Horny Squad Member 1
<0159> Super Horny Squad Member 1

//<0160> Horny Boy
<0160> Horny Boy

//<0161> Ugly Yuri
<0161> Ugly Yuri

//<0162> Depussy
<0162> Depussy

//<0163> Perverted American Dog
<0163> Perverted American Dog

//<0164> Zeus
<0164> Zeus

//<0165> Hinata mark II
<0165> Hinata mark II

//<0166> Dung Beetle
<0166> Dung Beetle

//<0167> Mass Produced Hinata
<0167> Mass Produced Hinata

//<0168> ？？
<0168> ？？

//<0169> 「あ、ああ…」
<0169> 「Ah, yeah…」

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> nothing
<0173> nothing

//<0174> nothing
<0174> nothing

//<0175> nothing
<0175> nothing

//<0176> 何をさせられるのか不安だが、言われるまま背中合わせに立つ。
<0176> I'm nervous about what he'll make me do, but I decided to stand back-to-back with him.

//<0177> bs3_
<0177> bs3_

//<0178> nothing
<0178> nothing

//<0179> nothing
<0179> nothing

//<0180> nothing
<0180> nothing

//<0181> nothing
<0181> nothing

//<0182> nothing
<0182> nothing

//<0183> 後ろからそっと抱きつく。Hinataの体は温かかった。
<0183> As our backs gently touched with each other, I could feel Hinata's warmth.

//<0184> Otonashi
<0184> Otonashi

//<0185> クソ坊主
<0185> クソ坊主

//<0186> 代理人
<0186> 代理人

//<0187> 微妙すぎるイケメン
<0187> 微妙すぎるイケメン

//<0188> ロリコン
<0188> ロリコン

//<0189> メガネ仲間
<0189> メガネ仲間

//<0190> 暗算日本記録保持者
<0190> 暗算日本記録保持者

//<0191> 通り魔
<0191> 通り魔

//<0192> 記憶ナシ男
<0192> 記憶ナシ男

//<0193> 音速
<0193> 音速

//<0194> 無限
<0194> 無限

//<0195> Horny Samurai
<0195> Horny Samurai

//<0196> Super Horny Squad Member 1
<0196> Super Horny Squad Member 1

//<0197> Horny Boy
<0197> Horny Boy

//<0198> Ugly Yuri
<0198> Ugly Yuri

//<0199> Depussy
<0199> Depussy

//<0200> Perverted American Dog
<0200> Perverted American Dog

//<0201> Zeus
<0201> Zeus

//<0202> Hinata mark II
<0202> Hinata mark II

//<0203> Dung Beetle
<0203> Dung Beetle

//<0204> Mass Produced Hinata
<0204> Mass Produced Hinata

//<0205> ？？
<0205> ？？

//<0206> 「………」
<0206> 「………」

//<0207> nothing
<0207> nothing

//<0208> nothing
<0208> nothing

//<0209> nothing
<0209> nothing

//<0210> nothing
<0210> nothing

//<0211> nothing
<0211> nothing

//<0212> Hinata
<0212> Hinata

//<0213> 男Ｂ
<0213> 男Ｂ

//<0214> Super Horny Squad Leader
<0214> Super Horny Squad Leader

//<0215> Handsome-chin
<0215> Handsome-chin

//<0216> Homota
<0216> Homota

//<0217> Hina-chin
<0217> Hina-chin

//<0218> Hideki
<0218> Hideki

//<0219> 男子生徒
<0219> 男子生徒

//<0220> ？？
<0220> ？？

//<0221> 「なにやってんだ、お前…?」
<0221> 「What in the world are you doing…?」

//<0222> none
<0222> none

//<0223> nothing
<0223> nothing

//<0224> 
<0224> 

//<0225> 
<0225> 

//<0226> nothing
<0226> nothing

//<0227> bs
<0227> bs

//<0228> _
<0228> _

//<0229> nothing
<0229> nothing

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> nothing
<0232> nothing

//<0233> nothing
<0233> nothing

//<0234> Otonashi
<0234> Otonashi

//<0235> クソ坊主
<0235> クソ坊主

//<0236> 代理人
<0236> 代理人

//<0237> 微妙すぎるイケメン
<0237> 微妙すぎるイケメン

//<0238> ロリコン
<0238> ロリコン

//<0239> メガネ仲間
<0239> メガネ仲間

//<0240> 暗算日本記録保持者
<0240> 暗算日本記録保持者

//<0241> 通り魔
<0241> 通り魔

//<0242> 記憶ナシ男
<0242> 記憶ナシ男

//<0243> 音速
<0243> 音速

//<0244> 無限
<0244> 無限

//<0245> Horny Samurai
<0245> Horny Samurai

//<0246> Super Horny Squad Member 1
<0246> Super Horny Squad Member 1

//<0247> Horny Boy
<0247> Horny Boy

//<0248> Ugly Yuri
<0248> Ugly Yuri

//<0249> Depussy
<0249> Depussy

//<0250> Perverted American Dog
<0250> Perverted American Dog

//<0251> Zeus
<0251> Zeus

//<0252> Hinata mark II
<0252> Hinata mark II

//<0253> Dung Beetle
<0253> Dung Beetle

//<0254> Mass Produced Hinata
<0254> Mass Produced Hinata

//<0255> ？？
<0255> ？？

//<0256> 「え?　こうじゃなかったか?」
<0256> 「Huh? Isn't this it?」

//<0257> 
<0257> 

//<0258> nothing
<0258> nothing

//<0259> nothing
<0259> nothing

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> Hinata
<0263> Hinata

//<0264> 男Ｂ
<0264> 男Ｂ

//<0265> Super Horny Squad Leader
<0265> Super Horny Squad Leader

//<0266> Handsome-chin
<0266> Handsome-chin

//<0267> Homota
<0267> Homota

//<0268> Hina-chin
<0268> Hina-chin

//<0269> Hideki
<0269> Hideki

//<0270> 男子生徒
<0270> 男子生徒

//<0271> ？？
<0271> ？？

//<0272> 「そんなストレッチ、存在しねーよっ!!　逆!　背中合わせ!!」
<0272> 「That kind of stretching doesn't exist! Turn around!! Stand back to back!!」

//<0273> nothing
<0273> nothing

//<0274> nothing
<0274> nothing

//<0275> nothing
<0275> nothing

//<0276> nothing
<0276> nothing

//<0277> nothing
<0277> nothing

//<0278> nothing
<0278> nothing

//<0279> 渋々、背中合わせに立つ。
<0279> I reluctantly joined our backs.

//<0280> Otonashi
<0280> Otonashi

//<0281> クソ坊主
<0281> クソ坊主

//<0282> 代理人
<0282> 代理人

//<0283> 微妙すぎるイケメン
<0283> 微妙すぎるイケメン

//<0284> ロリコン
<0284> ロリコン

//<0285> メガネ仲間
<0285> メガネ仲間

//<0286> 暗算日本記録保持者
<0286> 暗算日本記録保持者

//<0287> 通り魔
<0287> 通り魔

//<0288> 記憶ナシ男
<0288> 記憶ナシ男

//<0289> 音速
<0289> 音速

//<0290> 無限
<0290> 無限

//<0291> Horny Samurai
<0291> Horny Samurai

//<0292> Super Horny Squad Member 1
<0292> Super Horny Squad Member 1

//<0293> Horny Boy
<0293> Horny Boy

//<0294> Ugly Yuri
<0294> Ugly Yuri

//<0295> Depussy
<0295> Depussy

//<0296> Perverted American Dog
<0296> Perverted American Dog

//<0297> Zeus
<0297> Zeus

//<0298> Hinata mark II
<0298> Hinata mark II

//<0299> Dung Beetle
<0299> Dung Beetle

//<0300> Mass Produced Hinata
<0300> Mass Produced Hinata

//<0301> ？？
<0301> ？？

//<0302> 「え?」
<0302> 「Huh?」

//<0303> Hinata
<0303> Hinata

//<0304> 男Ｂ
<0304> 男Ｂ

//<0305> Super Horny Squad Leader
<0305> Super Horny Squad Leader

//<0306> Handsome-chin
<0306> Handsome-chin

//<0307> Homota
<0307> Homota

//<0308> Hina-chin
<0308> Hina-chin

//<0309> Hideki
<0309> Hideki

//<0310> 男子生徒
<0310> 男子生徒

//<0311> ？？
<0311> ？？

//<0312> 「背中合わせになるんだよ」
<0312> 「We have to stand back to back.」

//<0313> 言われるまま、背中合わせに立つ。
<0313> I stood back to back as he told me to.

//<0314> Hinataが俺の手首を掴み、腕を上げさせた。
<0314> Hinata grabbed my wrist, and lifted my arms up.

//<0315> そのまま俺を背中に乗せるようにして、背筋を伸ばしていく…。
<0315> He put my arms behind my back, which stretched my spine muscles…

//<0316> 俺の頭が落ちるくらい、Hinataが深く屈んだので、背筋、肩、腕が悲鳴を上げている。
<0316> Hinata started to crouch until my head stooped, which made my back, shoulders, and arms screen out in pain.

//<0317> Otonashi
<0317> Otonashi

//<0318> クソ坊主
<0318> クソ坊主

//<0319> 代理人
<0319> 代理人

//<0320> 微妙すぎるイケメン
<0320> 微妙すぎるイケメン

//<0321> ロリコン
<0321> ロリコン

//<0322> メガネ仲間
<0322> メガネ仲間

//<0323> 暗算日本記録保持者
<0323> 暗算日本記録保持者

//<0324> 通り魔
<0324> 通り魔

//<0325> 記憶ナシ男
<0325> 記憶ナシ男

//<0326> 音速
<0326> 音速

//<0327> 無限
<0327> 無限

//<0328> Horny Samurai
<0328> Horny Samurai

//<0329> Super Horny Squad Member 1
<0329> Super Horny Squad Member 1

//<0330> Horny Boy
<0330> Horny Boy

//<0331> Ugly Yuri
<0331> Ugly Yuri

//<0332> Depussy
<0332> Depussy

//<0333> Perverted American Dog
<0333> Perverted American Dog

//<0334> Zeus
<0334> Zeus

//<0335> Hinata mark II
<0335> Hinata mark II

//<0336> Dung Beetle
<0336> Dung Beetle

//<0337> Mass Produced Hinata
<0337> Mass Produced Hinata

//<0338> ？？
<0338> ？？

//<0339> 「イツツ…」
<0339> 「Ow…」

//<0340> Hinata
<0340> Hinata

//<0341> 男Ｂ
<0341> 男Ｂ

//<0342> Super Horny Squad Leader
<0342> Super Horny Squad Leader

//<0343> Handsome-chin
<0343> Handsome-chin

//<0344> Homota
<0344> Homota

//<0345> Hina-chin
<0345> Hina-chin

//<0346> Hideki
<0346> Hideki

//<0347> 男子生徒
<0347> 男子生徒

//<0348> ？？
<0348> ？？

//<0349> 「これぐらいがいいんだよ」
<0349> 「This much is fine.」

//<0350> 痛いが、Hinataがそう言うなら、耐えられる。
<0350> It hurt, but since Hinata said so, I had to endure it.

//<0351> Hinataが立ち上がり、地面に戻った。
<0351> Hinata got back up on his feet.

//<0352> Hinata
<0352> Hinata

//<0353> 男Ｂ
<0353> 男Ｂ

//<0354> Super Horny Squad Leader
<0354> Super Horny Squad Leader

//<0355> Handsome-chin
<0355> Handsome-chin

//<0356> Homota
<0356> Homota

//<0357> Hina-chin
<0357> Hina-chin

//<0358> Hideki
<0358> Hideki

//<0359> 男子生徒
<0359> 男子生徒

//<0360> ？？
<0360> ？？

//<0361> 「次は逆ー、Horny Boy、持ち上げてくれ」
<0361> 「You'll be doing it for me this time, Horny Boy. Get up.」

//<0362> Hinata
<0362> Hinata

//<0363> 男Ｂ
<0363> 男Ｂ

//<0364> Super Horny Squad Leader
<0364> Super Horny Squad Leader

//<0365> Handsome-chin
<0365> Handsome-chin

//<0366> Homota
<0366> Homota

//<0367> Hina-chin
<0367> Hina-chin

//<0368> Hideki
<0368> Hideki

//<0369> 男子生徒
<0369> 男子生徒

//<0370> ？？
<0370> ？？

//<0371> 「次は逆ー、Otonashi持ち上げてくれ」
<0371> 「You'll be doing it for me this time, Otonashi. Get up.」

//<0372> 今度は俺がHinataの手首をつかみ、上体を屈めていく。
<0372> This time, I grabbed Hinata's wrist, and bent his upper body.

//<0373> Hinata
<0373> Hinata

//<0374> 男Ｂ
<0374> 男Ｂ

//<0375> Super Horny Squad Leader
<0375> Super Horny Squad Leader

//<0376> Handsome-chin
<0376> Handsome-chin

//<0377> Homota
<0377> Homota

//<0378> Hina-chin
<0378> Hina-chin

//<0379> Hideki
<0379> Hideki

//<0380> 男子生徒
<0380> 男子生徒

//<0381> ？？
<0381> ？？

//<0382> 「もっと深くてもいいぞー」
<0382> 「You can go further.」

//<0383> 頭を下げ、腰を後ろに突き出すようにして、Hinataの背筋を伸ばす。
<0383> I pulled his hips, and stretched Hinata's spines.

//<0384> Hinata
<0384> Hinata

//<0385> 男Ｂ
<0385> 男Ｂ

//<0386> Super Horny Squad Leader
<0386> Super Horny Squad Leader

//<0387> Handsome-chin
<0387> Handsome-chin

//<0388> Homota
<0388> Homota

//<0389> Hina-chin
<0389> Hina-chin

//<0390> Hideki
<0390> Hideki

//<0391> 男子生徒
<0391> 男子生徒

//<0392> ？？
<0392> ？？

//<0393> 「よし、いい感じだ。下ろしてくれ」
<0393> 「Ok, this feels good. Let go of me.」

//<0394> 力を抜く。
<0394> 力を抜く。

//<0395> Otonashi
<0395> Otonashi

//<0396> クソ坊主
<0396> クソ坊主

//<0397> 代理人
<0397> 代理人

//<0398> 微妙すぎるイケメン
<0398> 微妙すぎるイケメン

//<0399> ロリコン
<0399> ロリコン

//<0400> メガネ仲間
<0400> メガネ仲間

//<0401> 暗算日本記録保持者
<0401> 暗算日本記録保持者

//<0402> 通り魔
<0402> 通り魔

//<0403> 記憶ナシ男
<0403> 記憶ナシ男

//<0404> 音速
<0404> 音速

//<0405> 無限
<0405> 無限

//<0406> Horny Samurai
<0406> Horny Samurai

//<0407> Super Horny Squad Member 1
<0407> Super Horny Squad Member 1

//<0408> Horny Boy
